НТО ул. Авиационная, вл.68; Авиационная улица, дом 68; Северо-Западный административный округ; район Щукино; Компания ФРЕГАТ; 55.8097215134657; 37.4562557224584
НТО Домодедовская ул., вл. 11; Домодедовская улица, дом 11; Южный административный округ; район Орехово-Борисово Северное; АЛФАВИТ; 55.6099442778811; 37.7092343275534
НТО Шипиловская ул., вл.25; внутригородская территория муниципальный округ Орехово-Борисово Северное, Шипиловская улица, дом 25; Южный административный округ; район Орехово-Борисово Северное; ЛОГОС-М2; 55.6208635068897; 37.7220338123916
НТО Медиков ул., вл.3; внутригородская территория муниципальный округ Царицыно, улица Медиков, дом 3; Южный административный округ; район Царицыно; Антарес; 55.6343070177561; 37.6747973088271
НТО Ключевая ул., вл.14, корп.1; внутригородская территория муниципальный округ Братеево, Ключевая улица, дом 14, корпус 1; Южный административный округ; район Братеево; АЛИМПИС; 55.635117604804; 37.7602956026459
НТО Бирюлевская ул., вл. 17; внутригородская территория муниципальный округ Бирюлево Восточное, Бирюлёвская улица, дом 17; Южный административный округ; район Бирюлёво Восточное; АРЕАЛ; 55.5957507637515; 37.6630534125049
НТО Тамбовская, 4; внутригородская территория муниципальный округ Орехово-Борисово Южное, Тамбовская улица, дом 5; Южный административный округ; район Орехово-Борисово Южное; Сейлс; 55.6052813349228; 37.7446515469991
НТО Ясеневая ул., вл.31; внутригородская территория муниципальный округ Орехово-Борисово Южное, Ясеневая улица, дом 31, корпус 1; Южный административный округ; район Орехово-Борисово Южное; КАП; 55.6048052829463; 37.7379814637273
НТО Домодедовская ул., вл. 12; внутригородская территория муниципальный округ Орехово-Борисово Северное, Домодедовская улица, дом 12; Южный административный округ; район Орехово-Борисово Северное; У Метро; 55.6144006097786; 37.7060989140517
НТО Ясеневая ул., вл.30; Ясеневая улица, дом 30; Южный административный округ; район Орехово-Борисово Южное; У Метро; 55.6045572845965; 37.7383945858314
НТО Ключевая ул., вл. 6; внутригородская территория муниципальный округ Братеево, Ключевая улица, дом 6, корпус 1; Южный административный округ; район Братеево; АЛИМПИС; 55.6374700392168; 37.7581951786492
НТО Ореховый бульв., вл. 15; Ореховый бульвар, дом 15; Южный административный округ; район Орехово-Борисово Северное; ИНВЕСТ ГРУПП; 55.6116979078159; 37.7212656768715
НТО Кустанайская ул., вл.6, корп.1; внутригородская территория муниципальный округ Зябликово, Кустанайская улица, дом 6; Южный административный округ; район Зябликово; У Метро; 55.619315; 37.752712
НТО Каширское шоссе, 24с3; Каширское шоссе, дом 24, строение 3; Южный административный округ; район Москворечье-Сабурово; У Метро; 55.6550853201519; 37.6475249953191
НТО Ст.метро «Каширская» (выход к универмагу); Каширское шоссе, дом 24, строение 3; Южный административный округ; район Москворечье-Сабурово; ЮРКОНСАЛТИНГ; 55.6543493476517; 37.6491775298107
НТО Большие Каменщики, 3; внутригородская территория муниципальный округ Таганский, улица Большие Каменщики, дом 3, строение 2; Центральный административный округ; Таганский район; АЛФАВИТ; 55.7392000668855; 37.6538154166783
НТО Андропова просп., вл. 27; внутригородская территория муниципальный округ Нагатинский Затон, проспект Андропова, дом 27; Южный административный округ; район Нагатинский Затон; АРЕАЛ; 55.6767232524983; 37.6659739722659
НТО Нагатинская ул., вл. 22, к 1; Нагатинская улица, дом 22, корпус 1; Южный административный округ; район Нагатино-Садовники; АЛИМПИС; 55.6778553394996; 37.6541110363527
НТО Таганская пл. 5с3,; внутригородская территория муниципальный округ Таганский, Таганская площадь, дом 12, строение 5; Центральный административный округ; Таганский район; АЛИМПИС; 55.7421864159396; 37.6533075511187
НТО ст.м. «Пролетарская»-вых. на 3-й Крутицкий пер., д.16; внутригородская территория муниципальный округ Таганский, 3-й Крутицкий переулок, дом 16; Центральный административный округ; Таганский район; АЛИМПИС; 55.7315737310894; 37.6635225687208
НТО Велозаводская ул., д. 1дробь1; Велозаводская улица, дом 1/1, строение 1; Юго-Восточный административный округ; Южнопортовый район; АРЕАЛ; 55.7182360250075; 37.6640361963279
НТО Ярославское ш., вл.10; внутригородская территория муниципальный округ Ярославский, Ярославское шоссе, дом 10; Северо-Восточный административный округ; Ярославский район; Сейлс; 55.8534906644565; 37.682185870254
НТО Ленская ул.,26; Ленская улица, дом 26, корпус 1; Северо-Восточный административный округ; Бабушкинский район; АРЕАЛ; 55.867626739875; 37.6571877724821
НТО Изумрудная ул., вл.3; внутригородская территория муниципальный округ Лосиноостровский, Изумрудная улица, дом 3, строение 1; Северо-Восточный административный округ; Лосиноостровский район; Амо-пресс; 55.8696225493724; 37.6798427022283
НТО ул. Снежная, вл. 18; внутригородская территория муниципальный округ Свиблово, Снежная улица, дом 18; Северо-Восточный административный округ; район Свиблово; АРЕАЛ; 55.852354102531; 37.6470662076073
НТО Проспект Мира, вл. 39; внутригородская территория муниципальный округ Мещанский, проспект Мира, дом 39, строение 1; Центральный административный округ; Мещанский район; АЛФАВИТ; 55.7807851641048; 37.6329013792095
НТО Щепкина ул., вл. 34; внутригородская территория муниципальный округ Мещанский, улица Щепкина, дом 34, строение 1; Центральный административный округ; Мещанский район; ПРЕСС-ТОРГ; 55.781089; 37.629412
НТО Шереметьевская ул., вл.2(со стороны Сущевского Вала); внутригородская территория муниципальный округ Марьина Роща, Шереметьевская улица, дом 2; Северо-Восточный административный округ; район Марьина Роща; У Метро; 55.7933961966025; 37.617664991768
НТО Щепкина ул., вл. 38; внутригородская территория муниципальный округ Мещанский, улица Щепкина, дом 38, строение 1; Центральный административный округ; Мещанский район; АЛИМПИС; 55.781363814814; 37.6296441612988
НТО 1-я Останкинская ул., 8; 1-я Останкинская улица, дом 13/1; Северо-Восточный административный округ; Останкинский район; АРЕАЛ; 55.824354; 37.61812
НТО Клочкова ул. (ждробьд Кунцево); улица Алексея Свиридова, дом 22, строение 1; Западный административный округ; район Фили-Давыдково; Шумилина Галина Геннадьевна; 55.7263650859348; 37.4500457761906
НТО Осенний бульвар, вл. 12к.1; внутригородская территория муниципальный округ Крылатское, Осенний бульвар, дом 12, корпус 1; Западный административный округ; район Крылатское; Привалова Татьяна Анатольевна; 55.7583628495899; 37.4084984681802
НТО Ярцевская ул., вл. 21; внутригородская территория муниципальный округ Кунцево, Ярцевская улица, дом 21, корпус 1; Западный административный округ; район Кунцево; ЛОТЕРЕИ МОСКВЫ; 55.739574; 37.414237
НТО Осенний бульвар, вл. 9; Осенний бульвар, дом 9; Западный административный округ; район Крылатское; АЛИМПИС; 55.7586612568697; 37.4070928396057
НТО Беловежская ул., 79; внутригородская территория муниципальный округ Можайский, Беловежская улица, дом 79; Западный административный округ; Можайский район; ГКС; 55.7069672046268; 37.3961451839912
НТО Вяземская ул., 4; внутригородская территория муниципальный округ Можайский, Вяземская улица, дом 4; Западный административный округ; Можайский район; Амо-пресс; 55.7146396214516; 37.4026198609037
НТО Герасима Курина ул., вл. 44; внутригородская территория муниципальный округ Фили-Давыдково, улица Герасима Курина, дом 44, корпус 2; Западный административный округ; район Фили-Давыдково; КАП; 55.7311378319206; 37.4604385870483
НТО Ярцевская ул., вл. 22; внутригородская территория муниципальный округ Кунцево, Ярцевская улица, дом 22, строение 1; Западный административный округ; район Кунцево; Шумилина Галина Геннадьевна; 55.7386351292751; 37.4131572074797
НТО Брянская улица, 3; внутригородская территория муниципальный округ Дорогомилово, Брянская улица, дом 3; Западный административный округ; район Дорогомилово; У Метро; 55.744160132742; 37.5632302167184
НТО 2-й Николощеповский пер. 2-4; внутригородская территория муниципальный округ Арбат, 2-й Николощеповский переулок, дом 4; Центральный административный округ; район Арбат; ЮРКОНСАЛТИНГ; 55.7488242746578; 37.581930082557
НТО Арбатская площадь, 14с1; внутригородская территория муниципальный округ Арбат, Арбатская площадь, дом 14, строение 1; Центральный административный округ; район Арбат; У Метро; 55.7526185329766; 37.6017164119648
НТО ул. Новый Арбат, вл. 8; внутригородская территория муниципальный округ Арбат, улица Новый Арбат, дом 8; Центральный административный округ; район Арбат; Шумилина Галина Геннадьевна; 55.7530380716859; 37.5963062620254
НТО ул. Новый Арбат, д. 28; внутригородская территория муниципальный округ Арбат, улица Новый Арбат, дом 28; Центральный административный округ; район Арбат; ЮРКОНСАЛТИНГ; 55.7528061787617; 37.5841532392986
НТО Филевский б-р, 10; Филёвский бульвар, владение 10А; Западный административный округ; район Филёвский Парк; АЛФАВИТ; 55.7635320777143; 37.4872651377313
НТО Барклая, 9 (м.Багратионовская); внутригородская территория муниципальный округ Филевский Парк, улица Барклая, дом 9; Западный административный округ; район Филёвский Парк; Сейлс; 55.7434513861306; 37.4977250026146
НТО Барклая ул., вл.18; внутригородская территория муниципальный округ Филевский Парк, улица Барклая, дом 18/19, строение 2; Западный административный округ; район Филёвский Парк; Антарес; 55.7463894940052; 37.4959255465477
НТО Рязанский проспект, 9; Рязанский проспект, дом 9; Юго-Восточный административный округ; Нижегородский район; КАП; 55.7312027569656; 37.7392924508678
НТО Волгоградский просп. 88 к. 2; Волгоградский проспект, дом 88; Юго-Восточный административный округ; район Кузьминки; АЛФАВИТ; 55.7044619402911; 37.7696561351406
НТО 4-й Вешняковский пр., д. 3; внутригородская территория муниципальный округ Рязанский, 4-й Вешняковский проезд, дом 3, строение 1; Юго-Восточный административный округ; Рязанский район; Антарес; 55.7178237716952; 37.7942634232859
НТО Рязанский пр-т, 75; внутригородская территория муниципальный округ Рязанский, Рязанский проспект, дом 75, строение 1; Юго-Восточный административный округ; Рязанский район; ГКС; 55.7173794744557; 37.7934522645152
НТО Волгоградский пр-т, вл. 136; внутригородская территория муниципальный округ Кузьминки, Волгоградский проспект, дом 136; Юго-Восточный административный округ; район Кузьминки; АЛФАВИТ; 55.7023401613063; 37.7858534999345
НТО Юных Ленинцев, д. 43; внутригородская территория муниципальный округ Кузьминки, улица Юных Ленинцев, дом 43/33, строение 3; Юго-Восточный административный округ; район Кузьминки; АРЕАЛ; 55.7010052279369; 37.7544466101379
НТО Юных Ленинцев ул., д. 101; внутригородская территория муниципальный округ Кузьминки, улица Юных Ленинцев, дом 101; Юго-Восточный административный округ; район Кузьминки; АРЕАЛ; 55.6983797319401; 37.7800393287464
НТО Юных Ленинцев ул., вл. 115; внутригородская территория муниципальный округ Кузьминки, улица Юных Ленинцев, дом 115; Юго-Восточный административный округ; район Кузьминки; У Метро; 55.6975720719205; 37.7861746832096
НТО Ферганский пр-д, вл. 5; внутригородская территория муниципальный округ Выхино-Жулебино, Ферганский проезд, дом 5; Юго-Восточный административный округ; район Выхино-Жулебино; АРЕАЛ; 55.696775; 37.823619
НТО Волгоградский просп. 46дробь15; внутригородская территория муниципальный округ Текстильщики, Волгоградский проспект, дом 46/15; Юго-Восточный административный округ; район Текстильщики; КАП; 55.7087533386803; 37.7326864088185
НТО Донецкая ул. 9; внутригородская территория муниципальный округ Марьино, Донецкая улица, дом 9; Юго-Восточный административный округ; район Марьино; У Метро; 55.6501760225256; 37.7178191741458
НТО Новочеркасский бульвар, д. 6; Новочеркасский бульвар, дом 6, строение 1; Юго-Восточный административный округ; район Марьино; КАП; 55.6463930741782; 37.7142312410841
НТО Шоссейная ул., вл. 49; внутригородская территория муниципальный округ Печатники, Шоссейная улица, дом 49; Юго-Восточный административный округ; район Печатники; Антарес; 55.6748600666261; 37.7233037400494
НТО Шоссейная ул., вл. 52; Шоссейная улица, дом 52, корпус 2; Юго-Восточный административный округ; район Печатники; АЛФАВИТ; 55.6790510717958; 37.722919070219
НТО Краснодонская ул., вл. 15; внутригородская территория муниципальный округ Люблино, Краснодонская улица, дом 13; Юго-Восточный административный округ; район Люблино; АЛФАВИТ; 55.6810575601447; 37.7495493898698
НТО 1-я ул. Текстильщиков, д. 5дробь8; 1-я улица Текстильщиков, дом 5/8; Юго-Восточный административный округ; район Текстильщики; КАП; 55.7014513343847; 37.7370555356738
НТО ул. Перерва, д. 8; улица Перерва, дом 8, строение 1; Юго-Восточный административный округ; район Марьино; Мультитранс; 55.654152; 37.716405
НТО Новокосинская ул., вл. 32; внутригородская территория муниципальный округ Новокосино, Новокосинская улица, дом 32; Восточный административный округ; район Новокосино; Амо-пресс; 55.7417631167134; 37.8663104637176
НТО Липецкая ул., вл. 7; внутригородская территория муниципальный округ Бирюлево Восточное, Липецкая улица, дом 7; Южный административный округ; район Бирюлёво Восточное; Шумилина Галина Геннадьевна; 55.5830619874682; 37.6814859706813
НТО Чертановская ул., вл. 60; внутригородская территория муниципальный округ Чертаново Южное, Чертановская улица, дом 60; Южный административный округ; район Чертаново Южное; ЛОГОС-М2; 55.6005355596184; 37.5883275290116
НТО Новокосинская ул., вл. 35дробь5; внутригородская территория муниципальный округ Новокосино, Новокосинская улица, дом 35; Восточный административный округ; район Новокосино; СТМ МАРКЕТ-ПЛЮС; 55.7437249506151; 37.8657605143966
НТО Голубинская ул., вл.5; Голубинская улица, дом 5, корпус 1; Юго-Западный административный округ; район Ясенево; ГКС; 55.6072415859273; 37.5126232052876
НТО Вокзальная площадь; Синельниковская улица, дом 45А; Юго-Западный административный округ; район Южное Бутово; У Метро; 55.541535; 37.571552
НТО Дмитрия Ульянова ул., вл.17-19; внутригородская территория муниципальный округ Академический, улица Дмитрия Ульянова, дом 19; Юго-Западный административный округ; Академический район; У Метро; 55.6883363486807; 37.5728536011772
НТО Бескудниковский б-р вл.11; Бескудниковский бульвар, дом 11, корпус 1; Северный административный округ; Бескудниковский район; АЛФАВИТ; 55.861772994021; 37.5619479888547
НТО Кронштадский б-р д.7; Кронштадтский бульвар, дом 7; Северный административный округ; Головинский район; У Метро; 55.840446; 37.486437
НТО ул. Лескова, вл.16; внутригородская территория муниципальный округ Бибирево, улица Лескова, дом 16; Северо-Восточный административный округ; район Бибирево; АРЕАЛ; 55.8976820083275; 37.6057247179733
НТО Зеленоград, у корп.435а; внутригородская территория муниципальный округ Матушкино, город Зеленоград, корпус 435А; Зеленоградский административный округ; район Матушкино; АЛФАВИТ; 55.9973345648647; 37.2110295487521
НТО Хвалынский бульвар, вл. 9; Хвалынский бульвар, дом 9; Юго-Восточный административный округ; район Выхино-Жулебино; МЕДИА-СЕЛЕКТ; 55.6974044123451; 37.8490744096332
НТО Кронштадтский б-р, вл. 7а; внутригородская территория муниципальный округ Головинский, Кронштадтский бульвар, дом 7А; Северный административный округ; Головинский район; МАКС ТНП; 55.8413129873037; 37.4861645621646
НТО Никулинская ул., владение 21; внутригородская территория муниципальный округ Тропарево-Никулино, Никулинская улица, дом 21; Западный административный округ; район Тропарёво-Никулино; Мультитранс; 55.6690504957963; 37.4542131137003
НТО Днепропетровская ул., вл. 3; Днепропетровский проезд, дом 3; Южный административный округ; район Чертаново Центральное; У Метро; 55.6216720372133; 37.6061321922732
НТО Митинская, 34дробь29 (ТРЦ «Ладья»); Митинская улица, дом 34; Северо-Западный административный округ; район Митино; Сейлс; 55.8458538626668; 37.3586899059414
НТО Скульптора Мухиной ул., вл.4; улица Скульптора Мухиной, дом 4; Западный административный округ; район Ново-Переделкино; У Метро; 55.6436435797359; 37.3488224994959
НТО Вавилова ул., вл.38; внутригородская территория муниципальный округ Гагаринский, улица Вавилова, дом 38, корпус 1; Юго-Западный административный округ; Гагаринский район; МЕДИА-СЕЛЕКТ; 55.6947516647927; 37.5665456372638
НТО Хачатуряна, вл.13; внутригородская территория муниципальный округ Отрадное, улица Хачатуряна, дом 13; Северо-Восточный административный округ; район Отрадное; АРЕАЛ; 55.8627269834727; 37.6018444329229
НТО Багратионовский пр-д, вл. 7; внутригородская территория муниципальный округ Филевский Парк, Багратионовский проезд, дом 7, корпус 1; Западный административный округ; район Филёвский Парк; ПРЕССА СЕГОДНЯ; 55.7424595163205; 37.5016110951748
НТО Проспект Мира, вл. 30-32; внутригородская территория муниципальный округ Мещанский, проспект Мира, дом 30, строение 1; Центральный административный округ; Мещанский район; АЛФАВИТ; 55.7784433352118; 37.6329187493032
НТО ул. Отрадная, 16; внутригородская территория муниципальный округ Отрадное, Отрадная улица, дом 16; Северо-Восточный административный округ; район Отрадное; У Метро; 55.855401; 37.615345
НТО Плещеева ул,4 (ст.м. Бибирево); внутригородская территория муниципальный округ Бибирево, улица Плещеева, дом 4; Северо-Восточный административный округ; район Бибирево; АРЕАЛ; 55.8836258970107; 37.6051507688822
НТО Амундсена ул., вл. 21; улица Амундсена, владение 21Г; Северо-Восточный административный округ; район Свиблово; Азбука; 55.8557129498301; 37.6549071643192
НТО Ярославское шоссе, 6; Ярославское шоссе, дом 6; Северо-Восточный административный округ; Ярославский район; Сейлс; 55.85296; 37.681209
НТО ул. Плещеева, ул., 2-4; внутригородская территория муниципальный округ Бибирево, улица Плещеева, дом 4А; Северо-Восточный административный округ; район Бибирево; АРЕАЛ; 55.8836354458247; 37.6055191408613
НТО ст. м. «Ботанический сад»; проезд Серебрякова, дом 2А; Северо-Восточный административный округ; район Свиблово; АЛИМПИС; 55.8465665349729; 37.6387141318872
НТО Бутырская ул., 2; внутригородская территория муниципальный округ Бутырский, Бутырская улица, дом 2/18; Северо-Восточный административный округ; Бутырский район; У Метро; 55.7940809636967; 37.5864446286358
НТО Рижский пр-д, д. 8; Рижский проезд, дом 8; Северо-Восточный административный округ; Алексеевский район; АЛИМПИС; 55.8142526410208; 37.6621491203219
НТО ст.м. ВДНХ у музея Космонавтики; внутригородская территория муниципальный округ Останкинский, проспект Мира, дом 115, строение 1; Северо-Восточный административный округ; Останкинский район; Агентство Печати 41; 55.8228286737678; 37.6413826108664
НТО ст. метро «ВДНХ» северный выход у автобусной остановки; внутригородская территория муниципальный округ Останкинский, проспект Мира, дом 115, строение 1; Северо-Восточный административный округ; Останкинский район; Агентство Печати 41; 55.8223947129381; 37.6419255093931
НТО Широкая ул., 11; внутригородская территория муниципальный округ Северное Медведково, Широкая улица, дом 11; Северо-Восточный административный округ; район Северное Медведково; ГКС; 55.8878808416135; 37.6615669727759
НТО ст.м. Владыкино (Южный выход); внутригородская территория муниципальный округ Марфино, Ботаническая улица, дом 10Д, строение 1; Северо-Восточный административный округ; район Марфино; СТМ МАРКЕТ-ПЛЮС; 55.84628; 37.592671
НТО Ботаническая улица, 10дс1; внутригородская территория муниципальный округ Марфино, Ботаническая улица, дом 10Д, строение 1; Северо-Восточный административный округ; район Марфино; У Метро; 55.8458382200415; 37.5895651507131
НТО Егора Абакумова ул., пл. Лось; внутригородская территория муниципальный округ Ярославский, улица Егора Абакумова, дом 10, корпус 1; Северо-Восточный административный округ; Ярославский район; АЛФАВИТ; 55.880036; 37.713108
НТО Рудневой ул., д.2дробь20; улица Рудневой, дом 1, строение 1; Северо-Восточный административный округ; Бабушкинский район; У Метро; 55.8641770262416; 37.6812565392772
НТО Пришвина, ул., 23А; внутригородская территория муниципальный округ Бибирево, улица Пришвина, владение 23А; Северо-Восточный административный округ; район Бибирево; Антарес; 55.8848525974483; 37.6051144059726
НТО ул. Менжинского, вл. 36; улица Менжинского, дом 36; Северо-Восточный административный округ; Бабушкинский район; У Метро; 55.8704294543735; 37.6632642009704
НТО Алтуфьевское ш., 84; Алтуфьевское шоссе, дом 84; Северо-Восточный административный округ; район Бибирево; У Метро; 55.896024; 37.588224
НТО ул. Каргопольская , вл. 14; внутригородская территория муниципальный округ Отрадное, Каргопольская улица, владение 14А; Северо-Восточный административный округ; район Отрадное; У Метро; 55.863108114712; 37.5916562812468
НТО Костромская ул., 20б; внутригородская территория муниципальный округ Алтуфьевский, Костромская улица, дом 20; Северо-Восточный административный округ; Алтуфьевский район; ПРЕССА СЕГОДНЯ; 55.8836772158348; 37.60122432506
НТО Сигнальный пр.,6-8; Сигнальный проезд, дом 8; Северо-Восточный административный округ; район Отрадное; У Метро; 55.8486129416777; 37.5902262268272
НТО Широкая ул., вл. 16, к. 1; Широкая улица, дом 16, строение 1; Северо-Восточный административный округ; район Северное Медведково; АРДПП; 55.8874094299562; 37.6631372047571
НТО ул. Вильгельма Пика, вл.13, ст.м. «Ботанический сад»; улица Вильгельма Пика, владение 9А; Северо-Восточный административный округ; район Ростокино; МК-СЕРВИС; 55.8430982179207; 37.6374604363433
НТО ул.В.Пика. вл.13, ст.м. «Ботанический сад»; улица Вильгельма Пика, владение 9А; Северо-Восточный административный округ; район Ростокино; МАКС ТНП; 55.8436823107999; 37.6372028283461
НТО Алтуфьевское ш., вл. 13дробь2; Алтуфьевское шоссе, дом 13, корпус 2, строение 2; Северо-Восточный административный округ; район Отрадное; МК-СЕРВИС; 55.8535959587691; 37.5843130012242
НТО Дудинка ул. пересечение с Хибинским проездом; внутригородская территория муниципальный округ Ярославский, улица Дудинка, дом 3; Северо-Восточный административный округ; Ярославский район; АРИСТЕЙ; 55.8622064748894; 37.6875710747024
НТО Анадырский пр-д, ст.Лось; Анадырский проезд, дом 14Б, строение 1; Северо-Восточный административный округ; Лосиноостровский район; ПЕЧАТЬ СТОЛИЦЫ; 55.8811795300554; 37.7115259650329
НТО ул.Снежная, 27; Снежная улица, дом 27; Северо-Восточный административный округ; район Свиблово; У Метро; 55.8561795801474; 37.6539578153435
НТО Ивантеевская ул., вл.25; внутригородская территория муниципальный округ Богородское, Ивантеевская улица, дом 25А; Восточный административный округ; район Богородское; У Метро; 55.8154832189599; 37.7328389545814
НТО Суздальская ул., вл.20; внутригородская территория муниципальный округ Новокосино, Суздальская улица, дом 20; Восточный административный округ; район Новокосино; Антарес; 55.7431482911839; 37.8514271714219
НТО Открытое шоссе, вл.5; внутригородская территория муниципальный округ Богородское, Открытое шоссе, дом 5; Восточный административный округ; район Богородское; ЮРКОНСАЛТИНГ; 55.8146199664861; 37.7339563947714
НТО Энтузиастов шоссе, вл. 31; внутригородская территория муниципальный округ Соколиная Гора, шоссе Энтузиастов, дом 31; Восточный административный округ; район Соколиная Гора; ЮРКОНСАЛТИНГ; 55.7586679987007; 37.7523405560197
НТО Свободный просп., вл.9В; Свободный проспект, дом 9В; Восточный административный округ; район Ивановское; Мультитранс; 55.7647195184809; 37.8226833468032
НТО Главная ул., вл.29; внутригородская территория муниципальный округ Восточный, Главная улица, дом 29; Восточный административный округ; район Восточный; КУПРИНА ЭМИЛИЯ СТАНИСЛАВОВНА; 55.8195353744021; 37.8722256079062
НТО Старый Гай ул., вл.7; улица Старый Гай, дом 7А; Восточный административный округ; район Вешняки; У Метро; 55.7383317839535; 37.8287897322539
НТО Шоссе Энтузиастов, вл.44А; шоссе Энтузиастов, владение 44А, сооружение 1; Восточный административный округ; район Перово; ПРЕСС-ТОРГ; 55.7572370890933; 37.7516034365874
НТО Буденного просп., вл. 14; проспект Будённого, дом 14; Восточный административный округ; район Соколиная Гора; Амо-пресс; 55.7777262114827; 37.7206036301859
НТО Сахалинская ул., вл.5; Сахалинская улица, дом 5; Восточный административный округ; район Гольяново; АЛИМПИС; 55.8242416247897; 37.8165346819692
НТО Первомайская ул., вл. 116А; Первомайская улица, дом 116А; Восточный административный округ; район Восточное Измайлово; АЛФАВИТ; 55.7933309110827; 37.8189300642217
НТО Краснодарская ул., вл. 47; внутригородская территория муниципальный округ Люблино, Краснодарская улица, дом 47; Юго-Восточный административный округ; район Люблино; АРЕАЛ; 55.6770273775189; 37.7614847491392
НТО ул. Таганская, вл.23; внутригородская территория муниципальный округ Таганский, Таганская улица, дом 17-23; Центральный административный округ; Таганский район; АЛИМПИС; 55.7397932589077; 37.6647789667231
НТО Рязанский просп. 10 с1; внутригородская территория муниципальный округ Рязанский, Рязанский проспект, дом 10, строение 1; Юго-Восточный административный округ; Рязанский район; МЕДИА-СЕЛЕКТ; 55.7256653912564; 37.7609927952715
НТО ул. Сормовская, 6; внутригородская территория муниципальный округ Выхино-Жулебино, Сормовская улица, земельный участок 6/2; Юго-Восточный административный округ; район Выхино-Жулебино; У Метро; 55.7108129137179; 37.8125071776602
НТО Трофимова ул., 36; внутригородская территория муниципальный округ Южнопортовый, улица Трофимова, дом 36, корпус 1; Юго-Восточный административный округ; Южнопортовый район; ИНВЕСТ ГРУПП; 55.70367; 37.685661
НТО Волочаевская ул. 11; внутригородская территория муниципальный округ Лефортово, Волочаевская улица, дом 9, строение 11; Юго-Восточный административный округ; район Лефортово; МЕДИА-СЕЛЕКТ; 55.7524210961765; 37.6786819173385
НТО Волочаевская ул. 12А с. 1; внутригородская территория муниципальный округ Лефортово, Волочаевская улица, дом 12А, строение 1; Юго-Восточный административный округ; район Лефортово; АЛФАВИТ; 55.755456368777; 37.6815726744868
НТО 8-я ул. Текстильщиков 8; внутригородская территория муниципальный округ Текстильщики, 8-я улица Текстильщиков, дом 8; Юго-Восточный административный округ; район Текстильщики; ЕДИНАЯ ПРЕССА; 55.7040370250812; 37.7412868570689
НТО Красноказарменная ул., 5дробь3; Красноказарменная улица, дом 3/5, корпус 1А; Юго-Восточный административный округ; район Лефортово; КАП; 55.759395; 37.693441
НТО 1-й Капотнинский пр. 16; внутригородская территория муниципальный округ Капотня, 1-й Капотнинский проезд, дом 16; Юго-Восточный административный округ; район Капотня; КАП; 55.6395091507485; 37.7933532629369
НТО Жулебинский б-р, д. 38; Жулебинский бульвар, дом 38; Юго-Восточный административный округ; район Выхино-Жулебино; КАП; 55.6843406672176; 37.8473378568692
НТО Жигулевская ул., вл. 18; внутригородская территория муниципальный округ Кузьминки, Жигулёвская улица, дом 18; Юго-Восточный административный округ; район Кузьминки; АРЕАЛ; 55.707839312255; 37.7633042680095
НТО Новочеркасский бульв. 41 к. 4; внутригородская территория муниципальный округ Марьино, Новочеркасский бульвар, дом 41, корпус 4; Юго-Восточный административный округ; район Марьино; ПРЕСС-ТОРГ; 55.6478223010174; 37.7358864454372
НТО Рязанский пр-т, вл. 57дробь2; Рязанский проспект, дом 53, строение 2; Юго-Восточный административный округ; Рязанский район; Амо-пресс; 55.7231581446689; 37.7702208929589
